,context,ques,ans
743,IIT Patna has a robust mentorship program where senior students and faculty members guide juniors in academics and career planning. This mentorship helps new students adapt to the rigorous academic environment and make informed decisions about their studies.,Is the mentorship program described as optional or a standard part of the academic support at IIT Patna?,"It is described as a robust program, implying it is a significant part of the support system."
744,"The grading system at IIT Patna uses letter grades ranging from ‘A’ (Excellent) to ‘F’ (Fail), with corresponding grade points on a 10-point scale. A minimum CPI of 5.0 is required for graduation, ensuring that students maintain consistent academic performance throughout their tenure.",What type of grading system is used at IIT Patna?,A letter grade system.
745,"The grading system at IIT Patna uses letter grades ranging from ‘A’ (Excellent) to ‘F’ (Fail), with corresponding grade points on a 10-point scale. A minimum CPI of 5.0 is required for graduation, ensuring that students maintain consistent academic performance throughout their tenure.",What is the range of letter grades used at IIT Patna?,From ‘A’ (Excellent) to ‘F’ (Fail).
746,"The grading system at IIT Patna uses letter grades ranging from ‘A’ (Excellent) to ‘F’ (Fail), with corresponding grade points on a 10-point scale. A minimum CPI of 5.0 is required for graduation, ensuring that students maintain consistent academic performance throughout their tenure.",What is the scale for the corresponding grade points at IIT Patna?,A 10-point scale.
747,"The grading system at IIT Patna uses letter grades ranging from ‘A’ (Excellent) to ‘F’ (Fail), with corresponding grade points on a 10-point scale. A minimum CPI of 5.0 is required for graduation, ensuring that students maintain consistent academic performance throughout their tenure.",What is the minimum CPI required for graduation at IIT Patna?,5.0.
748,"The grading system at IIT Patna uses letter grades ranging from ‘A’ (Excellent) to ‘F’ (Fail), with corresponding grade points on a 10-point scale. A minimum CPI of 5.0 is required for graduation, ensuring that students maintain consistent academic performance throughout their tenure.",What does the minimum CPI requirement ensure for students at IIT Patna?,That they maintain consistent academic performance throughout their tenure.
749,"The institute encourages undergraduate research through initiatives like the Undergraduate Research Award (URA), which allows students to work on innovative projects under faculty supervision. These projects often lead to publications in reputed journals or presentations at international conferences.",How does IIT Patna encourage undergraduate research?,Through initiatives like the Undergraduate Research Award (URA).
750,"The institute encourages undergraduate research through initiatives like the Undergraduate Research Award (URA), which allows students to work on innovative projects under faculty supervision. These projects often lead to publications in reputed journals or presentations at international conferences.",What does the URA allow undergraduate students to do?,Work on innovative projects under faculty supervision.
751,"The institute encourages undergraduate research through initiatives like the Undergraduate Research Award (URA), which allows students to work on innovative projects under faculty supervision. These projects often lead to publications in reputed journals or presentations at international conferences.",What are some potential outcomes of these undergraduate research projects?,Publications in reputed journals or presentations at international conferences.
752,"The institute encourages undergraduate research through initiatives like the Undergraduate Research Award (URA), which allows students to work on innovative projects under faculty supervision. These projects often lead to publications in reputed journals or presentations at international conferences.",Is faculty supervision provided for undergraduate research projects at IIT Patna?,Yes.
753,"The institute encourages undergraduate research through initiatives like the Undergraduate Research Award (URA), which allows students to work on innovative projects under faculty supervision. These projects often lead to publications in reputed journals or presentations at international conferences.",Is the Undergraduate Research Award the only way for undergraduates to get involved in research at IIT Patna according to this paragraph?,"The paragraph mentions it as an example of an initiative, implying there might be other ways as well."
754,"IIT Patna has introduced several interdisciplinary M.Tech programs such as Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering. These programs are tailored to meet the growing demand for professionals with expertise across multiple domains.",What type of postgraduate programs has IIT Patna introduced that combine different fields of study?,Interdisciplinary M.Tech programs.
755,"IIT Patna has introduced several interdisciplinary M.Tech programs such as Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering. These programs are tailored to meet the growing demand for professionals with expertise across multiple domains.",Name three examples of interdisciplinary M.Tech programs offered at IIT Patna.,"Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering."
756,"IIT Patna has introduced several interdisciplinary M.Tech programs such as Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering. These programs are tailored to meet the growing demand for professionals with expertise across multiple domains.",What is the primary reason for introducing these interdisciplinary M.Tech programs?,To meet the growing demand for professionals with expertise across multiple domains.
757,"IIT Patna has introduced several interdisciplinary M.Tech programs such as Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering. These programs are tailored to meet the growing demand for professionals with expertise across multiple domains.",Are these programs designed for students with a background in a specific engineering discipline?,"While ""Data Science for Engineers"" suggests an engineering background might be beneficial, the paragraph emphasizes expertise across multiple domains, implying interdisciplinary appeal."
758,"IIT Patna has introduced several interdisciplinary M.Tech programs such as Data Science for Engineers, Computational Mechanics, and Energy Systems Engineering. These programs are tailored to meet the growing demand for professionals with expertise across multiple domains.",Does IIT Patna offer only traditional M.Tech programs?,"No, it has also introduced interdisciplinary M.Tech programs."
759,"Faculty members at IIT Patna are actively involved in research and regularly publish their work in high-impact journals and conferences. Many faculty members also collaborate with international universities and industries, bringing cutting-edge knowledge into the classroom.",What is the research activity level of faculty members at IIT Patna?,They are actively involved in research.
760,"Faculty members at IIT Patna are actively involved in research and regularly publish their work in high-impact journals and conferences. Many faculty members also collaborate with international universities and industries, bringing cutting-edge knowledge into the classroom.",Where do faculty members at IIT Patna typically publish their research work?,In high-impact journals and conferences.
761,"Faculty members at IIT Patna are actively involved in research and regularly publish their work in high-impact journals and conferences. Many faculty members also collaborate with international universities and industries, bringing cutting-edge knowledge into the classroom.",With whom do many faculty members at IIT Patna collaborate on research?,International universities and industries.
762,"Faculty members at IIT Patna are actively involved in research and regularly publish their work in high-impact journals and conferences. Many faculty members also collaborate with international universities and industries, bringing cutting-edge knowledge into the classroom.",What is the benefit of these international collaborations for the students at IIT Patna?,It brings cutting-edge knowledge into the classroom.
763,"Faculty members at IIT Patna are actively involved in research and regularly publish their work in high-impact journals and conferences. Many faculty members also collaborate with international universities and industries, bringing cutting-edge knowledge into the classroom.",Is teaching the only responsibility of faculty members at IIT Patna?,"No, they are also actively involved in research."
764,"The institute has state-of-the-art laboratories equipped with advanced instruments for research and teaching purposes. For example, the Mechanical Engineering department houses labs for fluid mechanics, thermodynamics, robotics, and material testing, while the Computer Science department has dedicated labs for AI/ML research.",How are the laboratories at IIT Patna described in terms of their equipment?,State-of-the-art laboratories equipped with advanced instruments.
765,"The institute has state-of-the-art laboratories equipped with advanced instruments for research and teaching purposes. For example, the Mechanical Engineering department houses labs for fluid mechanics, thermodynamics, robotics, and material testing, while the Computer Science department has dedicated labs for AI/ML research.",For what purposes are these laboratories used at IIT Patna?,Research and teaching purposes.
766,"The institute has state-of-the-art laboratories equipped with advanced instruments for research and teaching purposes. For example, the Mechanical Engineering department houses labs for fluid mechanics, thermodynamics, robotics, and material testing, while the Computer Science department has dedicated labs for AI/ML research.",Name three types of labs housed in the Mechanical Engineering department at IIT Patna.,"Labs for fluid mechanics, thermodynamics, and robotics."
767,"The institute has state-of-the-art laboratories equipped with advanced instruments for research and teaching purposes. For example, the Mechanical Engineering department houses labs for fluid mechanics, thermodynamics, robotics, and material testing, while the Computer Science department has dedicated labs for AI/ML research.",What is a specific area of research for which the Computer Science department at IIT Patna has dedicated labs?,AI/ML research.
768,"The institute has state-of-the-art laboratories equipped with advanced instruments for research and teaching purposes. For example, the Mechanical Engineering department houses labs for fluid mechanics, thermodynamics, robotics, and material testing, while the Computer Science department has dedicated labs for AI/ML research.",Does every department at IIT Patna have its own set of specialized laboratories?,"The paragraph provides examples from Mechanical Engineering and Computer Science, suggesting other departments likely do as well."
769,IIT Patna offers several scholarships and financial assistance programs for meritorious and economically disadvantaged students. These include merit-cum-means scholarships for undergraduates and fellowships for postgraduate and Ph.D. scholars.,What kind of financial support does IIT Patna offer to its students?,Several scholarships and financial assistance programs.
770,IIT Patna offers several scholarships and financial assistance programs for meritorious and economically disadvantaged students. These include merit-cum-means scholarships for undergraduates and fellowships for postgraduate and Ph.D. scholars.,For which categories of students are these scholarships and programs available?,Meritorious and economically disadvantaged students.
771,IIT Patna offers several scholarships and financial assistance programs for meritorious and economically disadvantaged students. These include merit-cum-means scholarships for undergraduates and fellowships for postgraduate and Ph.D. scholars.,What is a specific type of scholarship mentioned for undergraduate students at IIT Patna?,Merit-cum-means scholarships.
772,IIT Patna offers several scholarships and financial assistance programs for meritorious and economically disadvantaged students. These include merit-cum-means scholarships for undergraduates and fellowships for postgraduate and Ph.D. scholars.,What type of financial support is mentioned for postgraduate and Ph.D. scholars at IIT Patna?,Fellowships.
773,IIT Patna offers several scholarships and financial assistance programs for meritorious and economically disadvantaged students. These include merit-cum-means scholarships for undergraduates and fellowships for postgraduate and Ph.D. scholars.,Does IIT Patna provide financial assistance based solely on academic merit?,"No, it also considers the economic background of students."
774,The institute has a strong focus on entrepreneurship through its incubation center called “Incubation Centre IIT Patna” (IC-IITP). Students can take entrepreneurship-related electives while working on startup ideas supported by seed funding and mentorship from faculty.,What is the name of the incubation center at IIT Patna that supports entrepreneurship?,“Incubation Centre IIT Patna” (IC-IITP).
775,The institute has a strong focus on entrepreneurship through its incubation center called “Incubation Centre IIT Patna” (IC-IITP). Students can take entrepreneurship-related electives while working on startup ideas supported by seed funding and mentorship from faculty.,What can students do at IIT Patna who are interested in entrepreneurship?,Take entrepreneurship-related electives and work on startup ideas.
776,The institute has a strong focus on entrepreneurship through its incubation center called “Incubation Centre IIT Patna” (IC-IITP). Students can take entrepreneurship-related electives while working on startup ideas supported by seed funding and mentorship from faculty.,What kind of support is provided to students working on startup ideas through the incubation center?,Seed funding and mentorship from faculty.
777,The institute has a strong focus on entrepreneurship through its incubation center called “Incubation Centre IIT Patna” (IC-IITP). Students can take entrepreneurship-related electives while working on startup ideas supported by seed funding and mentorship from faculty.,Is entrepreneurship considered an important aspect at IIT Patna?,"Yes, the institute has a strong focus on it."
778,The institute has a strong focus on entrepreneurship through its incubation center called “Incubation Centre IIT Patna” (IC-IITP). Students can take entrepreneurship-related electives while working on startup ideas supported by seed funding and mentorship from faculty.,Are only postgraduate students eligible to use the incubation center at IIT Patna?,"The paragraph mentions students in general, implying it's open to all."
779,"Academic integrity is highly emphasized at IIT Patna. Students are expected to adhere to strict guidelines regarding plagiarism in assignments, projects, and thesis submissions. Any violation may result in penalties ranging from grade reduction to expulsion.",What aspect of academic conduct is highly emphasized at IIT Patna?,Academic integrity.
780,"Academic integrity is highly emphasized at IIT Patna. Students are expected to adhere to strict guidelines regarding plagiarism in assignments, projects, and thesis submissions. Any violation may result in penalties ranging from grade reduction to expulsion.",What specific academic misconduct are students expected to avoid at IIT Patna?,"Plagiarism in assignments, projects, and thesis submissions."
781,"Academic integrity is highly emphasized at IIT Patna. Students are expected to adhere to strict guidelines regarding plagiarism in assignments, projects, and thesis submissions. Any violation may result in penalties ranging from grade reduction to expulsion.",What are some potential consequences of violating the academic integrity guidelines at IIT Patna?,Penalties ranging from grade reduction to expulsion.
782,"Academic integrity is highly emphasized at IIT Patna. Students are expected to adhere to strict guidelines regarding plagiarism in assignments, projects, and thesis submissions. Any violation may result in penalties ranging from grade reduction to expulsion.",Are there specific guidelines regarding plagiarism at IIT Patna?,"Yes, students are expected to adhere to strict guidelines."
783,"Academic integrity is highly emphasized at IIT Patna. Students are expected to adhere to strict guidelines regarding plagiarism in assignments, projects, and thesis submissions. Any violation may result in penalties ranging from grade reduction to expulsion.",Are these guidelines applicable to all types of academic work submitted by students?,"Yes, including assignments, projects, and thesis submissions."
784,"The institute organizes regular workshops and short-term courses on specialized topics like Deep Learning Applications, Finite Element Analysis, IoT Systems Design, and Advanced Materials Characterization. These workshops are open to both students and professionals.",What kind of educational programs does IIT Patna organize on specific subjects?,Regular workshops and short-term courses.
785,"The institute organizes regular workshops and short-term courses on specialized topics like Deep Learning Applications, Finite Element Analysis, IoT Systems Design, and Advanced Materials Characterization. These workshops are open to both students and professionals.",Name three examples of specialized topics covered in these workshops or courses.,"Deep Learning Applications, Finite Element Analysis, and IoT Systems Design."
786,"The institute organizes regular workshops and short-term courses on specialized topics like Deep Learning Applications, Finite Element Analysis, IoT Systems Design, and Advanced Materials Characterization. These workshops are open to both students and professionals.",Who can attend these workshops and short-term courses at IIT Patna?,Both students and professionals.
787,"The institute organizes regular workshops and short-term courses on specialized topics like Deep Learning Applications, Finite Element Analysis, IoT Systems Design, and Advanced Materials Characterization. These workshops are open to both students and professionals.",What is the duration of these educational programs typically?,Short-term.
788,"The institute organizes regular workshops and short-term courses on specialized topics like Deep Learning Applications, Finite Element Analysis, IoT Systems Design, and Advanced Materials Characterization. These workshops are open to both students and professionals.",What is the benefit of these programs for students and professionals?,They provide specialized knowledge and skills in specific areas.
789,"IIT Patna’s Humanities & Social Sciences department offers a variety of elective courses such as Psychology of Learning, Economics of Innovation, Philosophy of Science, Technical Communication Skills, and Sociology of Technology to help engineers develop soft skills and critical thinking abilities.",Which department at IIT Patna offers elective courses to help engineers develop soft skills?,Humanities & Social Sciences department.
790,"IIT Patna’s Humanities & Social Sciences department offers a variety of elective courses such as Psychology of Learning, Economics of Innovation, Philosophy of Science, Technical Communication Skills, and Sociology of Technology to help engineers develop soft skills and critical thinking abilities.",Name three examples of elective courses offered by the Humanities & Social Sciences department at IIT Patna.,"Psychology of Learning, Economics of Innovation, and Philosophy of Science."
791,"IIT Patna’s Humanities & Social Sciences department offers a variety of elective courses such as Psychology of Learning, Economics of Innovation, Philosophy of Science, Technical Communication Skills, and Sociology of Technology to help engineers develop soft skills and critical thinking abilities.",What are the two main types of skills that these elective courses aim to develop in engineering students?,Soft skills and critical thinking abilities.
792,"IIT Patna’s Humanities & Social Sciences department offers a variety of elective courses such as Psychology of Learning, Economics of Innovation, Philosophy of Science, Technical Communication Skills, and Sociology of Technology to help engineers develop soft skills and critical thinking abilities.",Are these elective courses compulsory for engineering students at IIT Patna?,"The paragraph states they are elective courses, so they are optional."
793,"IIT Patna’s Humanities & Social Sciences department offers a variety of elective courses such as Psychology of Learning, Economics of Innovation, Philosophy of Science, Technical Communication Skills, and Sociology of Technology to help engineers develop soft skills and critical thinking abilities.","What is the focus of a course like ""Technical Communication Skills""?",Helping engineers communicate effectively in technical contexts.
794,The curriculum at IIT Patna includes mandatory internship programs for undergraduate students during their summer breaks after the second or third year. These internships can be pursued in industries or research institutions either in India or abroad.,Are internships a required part of the undergraduate curriculum at IIT Patna?,"Yes, they are mandatory."
795,The curriculum at IIT Patna includes mandatory internship programs for undergraduate students during their summer breaks after the second or third year. These internships can be pursued in industries or research institutions either in India or abroad.,When do these mandatory internships typically take place for undergraduate students?,During their summer breaks after the second or third year.
796,The curriculum at IIT Patna includes mandatory internship programs for undergraduate students during their summer breaks after the second or third year. These internships can be pursued in industries or research institutions either in India or abroad.,Where can students pursue these internships?,In industries or research institutions either in India or abroad.
797,The curriculum at IIT Patna includes mandatory internship programs for undergraduate students during their summer breaks after the second or third year. These internships can be pursued in industries or research institutions either in India or abroad.,What is the purpose of these mandatory internships?,The paragraph implies it's to provide practical experience and exposure to industries or research institutions.
798,The curriculum at IIT Patna includes mandatory internship programs for undergraduate students during their summer breaks after the second or third year. These internships can be pursued in industries or research institutions either in India or abroad.,Are there any restrictions on the field or type of organization where students can do their internships?,"The paragraph mentions industries or research institutions, suggesting a focus on these areas."
799,"For postgraduate students pursuing M.Tech or Ph.D., there is a strong emphasis on thesis work that contributes original knowledge to their field of study. Students are required to publish their findings in peer-reviewed journals or conferences before completing their degree requirements.",What type of academic work is strongly emphasized for postgraduate students at IIT Patna?,Thesis work.
800,"For postgraduate students pursuing M.Tech or Ph.D., there is a strong emphasis on thesis work that contributes original knowledge to their field of study. Students are required to publish their findings in peer-reviewed journals or conferences before completing their degree requirements.",What is expected of this thesis work in terms of its contribution to the field of study?,It should contribute original knowledge.
801,"For postgraduate students pursuing M.Tech or Ph.D., there is a strong emphasis on thesis work that contributes original knowledge to their field of study. Students are required to publish their findings in peer-reviewed journals or conferences before completing their degree requirements.",What is a requirement for postgraduate students at IIT Patna before they can complete their degree?,To publish their findings in peer-reviewed journals or conferences.
802,"For postgraduate students pursuing M.Tech or Ph.D., there is a strong emphasis on thesis work that contributes original knowledge to their field of study. Students are required to publish their findings in peer-reviewed journals or conferences before completing their degree requirements.",Are there different expectations for M.Tech and Ph.D. thesis work?,"The paragraph doesn't specify differences, but it applies to both."
803,"For postgraduate students pursuing M.Tech or Ph.D., there is a strong emphasis on thesis work that contributes original knowledge to their field of study. Students are required to publish their findings in peer-reviewed journals or conferences before completing their degree requirements.",What is the purpose of requiring publication of research findings?,To disseminate original knowledge and contribute to the academic community.
804,"IIT Patna encourages lifelong learning by offering certificate programs through its Continuing Education Program (CEP). These programs cover topics like Cybersecurity Fundamentals, Renewable Energy Systems Design, Advanced Manufacturing Technologies, and more for working professionals looking to upskill themselves while balancing their careers.",How does IIT Patna promote lifelong learning?,By offering certificate programs through its Continuing Education Program (CEP).
805,"IIT Patna encourages lifelong learning by offering certificate programs through its Continuing Education Program (CEP). These programs cover topics like Cybersecurity Fundamentals, Renewable Energy Systems Design, Advanced Manufacturing Technologies, and more for working professionals looking to upskill themselves while balancing their careers.",Who are these certificate programs primarily designed for?,Working professionals looking to upskill themselves.
806,"IIT Patna encourages lifelong learning by offering certificate programs through its Continuing Education Program (CEP). These programs cover topics like Cybersecurity Fundamentals, Renewable Energy Systems Design, Advanced Manufacturing Technologies, and more for working professionals looking to upskill themselves while balancing their careers.",Name three examples of topics covered in these certificate programs.,"Cybersecurity Fundamentals, Renewable Energy Systems Design, and Advanced Manufacturing Technologies."
807,"IIT Patna encourages lifelong learning by offering certificate programs through its Continuing Education Program (CEP). These programs cover topics like Cybersecurity Fundamentals, Renewable Energy Systems Design, Advanced Manufacturing Technologies, and more for working professionals looking to upskill themselves while balancing their careers.",What is a key consideration for working professionals who might enroll in these programs?,Balancing their careers with upskilling.
808,"IIT Patna encourages lifelong learning by offering certificate programs through its Continuing Education Program (CEP). These programs cover topics like Cybersecurity Fundamentals, Renewable Energy Systems Design, Advanced Manufacturing Technologies, and more for working professionals looking to upskill themselves while balancing their careers.",Are these certificate programs part of the regular undergraduate or postgraduate curriculum?,"No, they are offered through the Continuing Education Program."
809,"IIT Patna has a robust academic advisory system where each student is assigned a faculty advisor to guide them through their academic journey. Advisors assist students in course selection, career planning, and resolving academic challenges, ensuring personalized attention and support.",What kind of support system does IIT Patna have for its students' academic progress?,A robust academic advisory system.
810,"IIT Patna has a robust academic advisory system where each student is assigned a faculty advisor to guide them through their academic journey. Advisors assist students in course selection, career planning, and resolving academic challenges, ensuring personalized attention and support.",Who is assigned to each student under this system?,A faculty advisor.
811,"IIT Patna has a robust academic advisory system where each student is assigned a faculty advisor to guide them through their academic journey. Advisors assist students in course selection, career planning, and resolving academic challenges, ensuring personalized attention and support.",In what areas do faculty advisors provide guidance to students?,"Course selection, career planning, and resolving academic challenges."
812,"IIT Patna has a robust academic advisory system where each student is assigned a faculty advisor to guide them through their academic journey. Advisors assist students in course selection, career planning, and resolving academic challenges, ensuring personalized attention and support.",What are the benefits of this academic advisory system for students?,It ensures personalized attention and support.
813,"IIT Patna has a robust academic advisory system where each student is assigned a faculty advisor to guide them through their academic journey. Advisors assist students in course selection, career planning, and resolving academic challenges, ensuring personalized attention and support.",Is it mandatory for every student at IIT Patna to have a faculty advisor?,"The paragraph states ""each student is assigned a faculty advisor,"" implying it is mandatory."
814,"The institute offers specialized minor programs that allow students to gain expertise in areas outside their major discipline. For example, a Mechanical Engineering student can pursue a minor in Artificial Intelligence or Data Science, enhancing their interdisciplinary skills and employability.",What type of programs does IIT Patna offer that allow students to specialize in a field different from their major?,Specialized minor programs.
815,"The institute offers specialized minor programs that allow students to gain expertise in areas outside their major discipline. For example, a Mechanical Engineering student can pursue a minor in Artificial Intelligence or Data Science, enhancing their interdisciplinary skills and employability.",What is the purpose of pursuing a minor program?,To gain expertise in areas outside their major discipline.
816,"The institute offers specialized minor programs that allow students to gain expertise in areas outside their major discipline. For example, a Mechanical Engineering student can pursue a minor in Artificial Intelligence or Data Science, enhancing their interdisciplinary skills and employability.",Give an example of a major-minor combination mentioned in the paragraph.,A Mechanical Engineering student pursuing a minor in Artificial Intelligence or Data Science.
817,"The institute offers specialized minor programs that allow students to gain expertise in areas outside their major discipline. For example, a Mechanical Engineering student can pursue a minor in Artificial Intelligence or Data Science, enhancing their interdisciplinary skills and employability.",What are the potential benefits of completing a minor program?,Enhancing interdisciplinary skills and employability.
818,"The institute offers specialized minor programs that allow students to gain expertise in areas outside their major discipline. For example, a Mechanical Engineering student can pursue a minor in Artificial Intelligence or Data Science, enhancing their interdisciplinary skills and employability.",Are minor programs compulsory for all students at IIT Patna?,"The paragraph describes them as programs that ""allow"" students to gain expertise, suggesting they are optional."
819,"IIT Patna integrates industry-relevant certifications into its curriculum. Students can earn certifications in areas like Python Programming, Machine Learning, Six Sigma, or CAD software while completing their regular coursework, giving them an edge in the job market.",What type of credentials does IIT Patna incorporate into its academic programs to benefit students' careers?,Industry-relevant certifications.
820,"IIT Patna integrates industry-relevant certifications into its curriculum. Students can earn certifications in areas like Python Programming, Machine Learning, Six Sigma, or CAD software while completing their regular coursework, giving them an edge in the job market.",Name three examples of areas in which students can earn certifications at IIT Patna.,"Python Programming, Machine Learning, and Six Sigma."
821,"IIT Patna integrates industry-relevant certifications into its curriculum. Students can earn certifications in areas like Python Programming, Machine Learning, Six Sigma, or CAD software while completing their regular coursework, giving them an edge in the job market.",When can students typically earn these certifications?,While completing their regular coursework.
822,"IIT Patna integrates industry-relevant certifications into its curriculum. Students can earn certifications in areas like Python Programming, Machine Learning, Six Sigma, or CAD software while completing their regular coursework, giving them an edge in the job market.",What is the advantage of obtaining these certifications for students?,It gives them an edge in the job market.
823,"IIT Patna integrates industry-relevant certifications into its curriculum. Students can earn certifications in areas like Python Programming, Machine Learning, Six Sigma, or CAD software while completing their regular coursework, giving them an edge in the job market.",Are these certifications awarded by IIT Patna or by external industry bodies?,The paragraph doesn't specify the awarding body.
824,"The institute conducts regular academic audits to ensure the quality of teaching and curriculum delivery. Feedback from students, faculty, and external experts is used to refine course content, teaching methodologies, and assessment practices.",What kind of evaluations does IIT Patna conduct to maintain the standard of its academic programs?,Regular academic audits.
825,"The institute conducts regular academic audits to ensure the quality of teaching and curriculum delivery. Feedback from students, faculty, and external experts is used to refine course content, teaching methodologies, and assessment practices.",What are the two main aspects of the academic programs that these audits focus on?,The quality of teaching and curriculum delivery.
826,"The institute conducts regular academic audits to ensure the quality of teaching and curriculum delivery. Feedback from students, faculty, and external experts is used to refine course content, teaching methodologies, and assessment practices.",From whom is feedback collected as part of these academic audits?,"Students, faculty, and external experts."
827,"The institute conducts regular academic audits to ensure the quality of teaching and curriculum delivery. Feedback from students, faculty, and external experts is used to refine course content, teaching methodologies, and assessment practices.",How is the feedback obtained from academic audits utilized?,"To refine course content, teaching methodologies, and assessment practices."
828,"The institute conducts regular academic audits to ensure the quality of teaching and curriculum delivery. Feedback from students, faculty, and external experts is used to refine course content, teaching methodologies, and assessment practices.",Is academic audit a one-time event or a recurring process at IIT Patna?,"It is described as regular, indicating a recurring process."
829,IIT Patna’s academic curriculum includes mandatory courses on ethics and professional responsibility to prepare students for ethical decision-making in their careers. These courses are offered across disciplines and emphasize real-world case studies.,What type of compulsory courses are included in IIT Patna's curriculum to prepare students for their professional lives?,Mandatory courses on ethics and professional responsibility.
830,IIT Patna’s academic curriculum includes mandatory courses on ethics and professional responsibility to prepare students for ethical decision-making in their careers. These courses are offered across disciplines and emphasize real-world case studies.,What is the primary goal of these courses?,To prepare students for ethical decision-making in their careers.
831,IIT Patna’s academic curriculum includes mandatory courses on ethics and professional responsibility to prepare students for ethical decision-making in their careers. These courses are offered across disciplines and emphasize real-world case studies.,Are these courses specific to certain disciplines or offered broadly?,They are offered across disciplines.
832,IIT Patna’s academic curriculum includes mandatory courses on ethics and professional responsibility to prepare students for ethical decision-making in their careers. These courses are offered across disciplines and emphasize real-world case studies.,What teaching method is emphasized in these courses?,Real-world case studies.
833,IIT Patna’s academic curriculum includes mandatory courses on ethics and professional responsibility to prepare students for ethical decision-making in their careers. These courses are offered across disciplines and emphasize real-world case studies.,Why is it important for engineering students to study ethics and professional responsibility?,The paragraph suggests it's to prepare them for ethical decision-making in their careers.
834,"Undergraduate students at IIT Patna are required to complete a capstone project in their final year. This project involves solving complex engineering problems or developing innovative solutions under faculty supervision, often in collaboration with industry partners.",What is a mandatory academic requirement for final-year undergraduate students at IIT Patna?,To complete a capstone project.
835,"Undergraduate students at IIT Patna are required to complete a capstone project in their final year. This project involves solving complex engineering problems or developing innovative solutions under faculty supervision, often in collaboration with industry partners.",What does this capstone project typically involve?,Solving complex engineering problems or developing innovative solutions.
836,"Undergraduate students at IIT Patna are required to complete a capstone project in their final year. This project involves solving complex engineering problems or developing innovative solutions under faculty supervision, often in collaboration with industry partners.",Who provides guidance for these capstone projects?,Faculty supervision.
837,"Undergraduate students at IIT Patna are required to complete a capstone project in their final year. This project involves solving complex engineering problems or developing innovative solutions under faculty supervision, often in collaboration with industry partners.",With whom might students collaborate on their capstone projects?,Industry partners.
838,"Undergraduate students at IIT Patna are required to complete a capstone project in their final year. This project involves solving complex engineering problems or developing innovative solutions under faculty supervision, often in collaboration with industry partners.",What is the purpose of the capstone project in the undergraduate curriculum?,The paragraph implies it's to apply their knowledge to solve complex problems and potentially collaborate with industry.
839,"The institute has a dedicated placement training program integrated into the curriculum. Students undergo sessions on resume building, interview preparation, group discussions, and technical skill enhancement to prepare for campus placements.",Does IIT Patna have a specific program to help students with their job prospects after graduation?,"Yes, a dedicated placement training program integrated into the curriculum."
840,"The institute has a dedicated placement training program integrated into the curriculum. Students undergo sessions on resume building, interview preparation, group discussions, and technical skill enhancement to prepare for campus placements.",Name three types of sessions that students undergo as part of this program.,"Resume building, interview preparation, and group discussions."
841,"The institute has a dedicated placement training program integrated into the curriculum. Students undergo sessions on resume building, interview preparation, group discussions, and technical skill enhancement to prepare for campus placements.",What is another area of focus in the placement training program besides soft skills?,Technical skill enhancement.
842,"The institute has a dedicated placement training program integrated into the curriculum. Students undergo sessions on resume building, interview preparation, group discussions, and technical skill enhancement to prepare for campus placements.",What is the ultimate goal of this placement training program?,To prepare students for campus placements.
843,"The institute has a dedicated placement training program integrated into the curriculum. Students undergo sessions on resume building, interview preparation, group discussions, and technical skill enhancement to prepare for campus placements.",Is this placement training program optional or a part of the regular curriculum?,"It is mentioned as integrated into the curriculum, suggesting it is a standard part."
844,IIT Patna collaborates with leading international universities for student exchange programs. Students can spend a semester abroad at partner institutions such as the University of Melbourne or Nanyang Technological University while earning credits toward their degree.,Does IIT Patna have partnerships with universities in other countries for student mobility?,"Yes, it collaborates with leading international universities for student exchange programs."
845,IIT Patna collaborates with leading international universities for student exchange programs. Students can spend a semester abroad at partner institutions such as the University of Melbourne or Nanyang Technological University while earning credits toward their degree.,What can students do as part of these exchange programs?,Spend a semester abroad at partner institutions.
846,IIT Patna collaborates with leading international universities for student exchange programs. Students can spend a semester abroad at partner institutions such as the University of Melbourne or Nanyang Technological University while earning credits toward their degree.,Name two examples of international partner institutions mentioned in the paragraph.,University of Melbourne and Nanyang Technological University.
847,IIT Patna collaborates with leading international universities for student exchange programs. Students can spend a semester abroad at partner institutions such as the University of Melbourne or Nanyang Technological University while earning credits toward their degree.,What is an academic benefit for students participating in these exchange programs?,Earning credits toward their degree.
848,IIT Patna collaborates with leading international universities for student exchange programs. Students can spend a semester abroad at partner institutions such as the University of Melbourne or Nanyang Technological University while earning credits toward their degree.,Is it mandatory for all students to participate in a student exchange program?,"The paragraph describes it as an opportunity that students ""can"" take, suggesting it is optional."
849,The institute offers bridge courses for students who may need additional support in foundational subjects like mathematics or programming. These courses are conducted during the first semester to help students adapt to the rigorous academic environment.,What type of courses does IIT Patna provide for students who might struggle with basic subjects?,Bridge courses.
850,The institute offers bridge courses for students who may need additional support in foundational subjects like mathematics or programming. These courses are conducted during the first semester to help students adapt to the rigorous academic environment.,Name two examples of foundational subjects for which bridge courses might be offered.,Mathematics or programming.
